arch,seed,flip_y,acc_ens,nll,brier,ece,pred_var,mean_entropy,mean_discordance,frac_A_proxy,cv_acc,cv_recall,cv_f1,mu_avg,kappa_avg,mu_Se,mu_Sp,kappa_Se,kappa_Sp
RF,1,0.0,0.999,0.015229013349606593,0.0009999997135161976,0.0009999907832818353,9.216666967228815e-09,1.7449610314399516e-07,0.0010000089301831648,0.001,0.914,0.94,0.9164217343812556,0.87456362267875,166.769287049375,0.8700939182674999,0.87903332709,167.784285465,165.75428863375
RF,1,0.1,0.886,1.7842572239198284,0.11384010803312458,0.014582396187135065,0.0007423105150444631,0.0033592605536046814,0.006417581451831493,0.005,0.806,0.8189090909090909,0.8076061540526311,0.80729651543625,160.59052173775,0.8048730160625001,0.8097200148100001,163.67929055475005,157.50175292075
RF,1,0.3,0.694,4.913456664146026,0.30599834852966457,0.01599917392726028,8.253975957365273e-07,9.697214903342162e-06,8.260727397178169e-07,0.0,0.6180000000000001,0.5549608062709966,0.5783451480388415,0.7553045886775,156.34222583275,0.7432516391249999,0.7673575382300001,156.1504041015,156.53404756400002
RF,1,0.5,0.474,8.478118265003962,0.526,3.5837999234900054e-15,3.583857031849242e-15,-1.4425828595390022e-09,3.583857031862082e-15,0.0,0.517,0.4420747422680412,0.468939636949033,0.73969525828375,155.217790233875,0.7321465911075,0.7472439254600001,155.31516071500002,155.12041975275
RF,2,0.0,1.0,-9.987732449931205e-08,1.5048067158313415e-17,1.226705634849168e-10,1.2267054857003615e-10,1.5492017951163105e-09,1.2267056361810332e-10,0.0,0.899,0.8959999999999999,0.8986536582820616,0.8796354719024999,166.31012436237498,0.8726913525075001,0.8865795912975,165.67107478874996,166.949173936
RF,2,0.1,0.907,1.4292094195352756,0.09272792009772753,0.023854121595618092,0.000132712515818909,0.0007657603063705236,0.008139367386453567,0.008,0.805,0.8036565656565656,0.8044972575521774,0.81511556807,157.05184501575002,0.81046659629,0.81976453985,156.34875207400003,157.7549379575
RF,2,0.3,0.704,4.7092998546608325,0.29582953141556306,0.016912608424356112,8.32580483334643e-05,0.0005361094838291214,0.0030872105361034875,0.003,0.63,0.6372121212121212,0.6314403279263392,0.7587410187200001,160.606732083625,0.7566012554874999,0.7608807819525,161.184829039,160.02863512825
RF,2,0.5,0.487,8.268583020232164,0.513,0.0019999999998100287,1.8997119669938952e-13,-1.4367891212465258e-09,1.899711967354782e-13,0.0,0.507,0.4747474747474747,0.4879114843407584,0.7397193602600001,158.910615138,0.7349216530650001,0.744517067455,158.17017633225,159.65105394375
RF,3,0.0,0.999,0.016067316741606958,0.001001228684061879,0.0010350526197277397,3.382437271318104e-05,0.00021913451377273492,0.0010350530567750599,0.001,0.8860000000000001,0.876,0.8846423782734,0.87062074205,167.41094458425,0.8683667443399999,0.87287473976,166.9170376925,167.90485147599998
RF,3,0.1,0.925,1.143614157203756,0.07421755430699335,0.01762569576750383,0.00044420583415723404,0.002169355601065515,0.009541627168046154,0.009,0.819,0.8135914159478224,0.8143402987156325,0.8220523976474999,164.271784448625,0.8155553426675001,0.8285494526275,164.45694415825,164.086624739
RF,3,0.3,0.743,4.116732097078132,0.25700086014092816,0.019966202158983266,3.271770053388136e-05,0.00022005334235386883,0.0019664221585389305,0.002,0.658,0.5817964644051601,0.6094395490474032,0.7638046918824999,160.279450217875,0.7460613552300001,0.781548028535,158.47229154975,162.086608886
RF,3,0.5,0.533,7.527150615697533,0.467,1.2083667400020204e-15,1.2083190392752424e-15,-1.4426572917736692e-09,1.2083190392759928e-15,0.0,0.526,0.3564048620850865,0.4102990753513593,0.73889524075625,158.34161058937502,0.7222356073525,0.7555548741599999,154.51478336575002,162.168437813
RF,4,0.0,0.997,0.019879238144016837,0.002970096047450575,0.0031341545200124997,0.00016405847256192502,0.0008449140039141216,0.0031341545200125,0.003,0.892,0.9200000000000002,0.8950525292138952,0.8536637231112499,163.83977362062498,0.8449843428375,0.862343103385,162.09936962125,165.58017761999997
RF,4,0.1,0.901,1.5035329227427319,0.09771738981850318,0.01282889430160828,0.0011115095977583863,0.005143097092089594,0.005171100608741721,0.004,0.793,0.8137497423211709,0.7950124463876133,0.80264795699125,155.81151244412501,0.7979877741125001,0.80730813987,155.04315770625,156.579867182
