channel,pi_01,pi_10,arch,seed,mu_Se,mu_Sp,mu_avg,asym_score,kappa_Se,kappa_Sp,f_A,f_A_class0,f_A_class1,f_B,f_C,cv_acc,cv_f1,cv_recall,convergence_ok,rhat_max,ess_min
sym_high,0.2,0.2,GB,2,0.746740543625,0.742513906895,0.7446272252599999,-0.0028380890355480326,138.304148545,149.400523494,0.134,0.15051546391752577,0.11844660194174757,0.0,0.866,0.751,0.7550395345109268,0.7475728155339806,False,,
sym_high,0.2,0.2,GB,3,0.7357094448225,0.7572230321975001,0.74646623851,0.014410288269388082,142.274718857,156.262789122,0.134,0.14367816091954022,0.12343096234309624,0.0,0.866,0.736,0.7224726428794964,0.7195175438596492,False,,
sym_high,0.2,0.2,MLP,0,0.824263648155,0.8109553281475,0.81760948815125,-0.008138555259096663,160.705419915,161.06561776225,0.044,0.04612159329140461,0.04206500956022945,0.0,0.956,0.666,0.6803110168752114,0.6806959706959708,False,,
sym_high,0.2,0.2,MLP,1,0.8251360067425001,0.8252498905875,0.825192948665,6.900437353174309e-05,161.7732636305,160.09609722349998,0.036,0.03206412825651302,0.03992015968063872,0.0,0.964,0.722,0.7257731064218359,0.7345742574257426,False,,
asym_FP,0.2,0.1,LR,0,0.6960126276275,0.609737755445,0.6528751915362501,-0.06607302072040575,151.82092985675,143.0107802705,0.278,0.2808219178082192,0.27580071174377224,0.0,0.722,0.697,0.7404057702886482,0.7704329962073325,False,,
asym_FP,0.2,0.1,LR,1,0.7446835902974999,0.7082158168425,0.7264497035699999,-0.025099998837280726,147.50387849125,132.18635858125,0.175,0.16740088105726872,0.1813186813186813,0.0,0.825,0.8140000000000001,0.8281408523944738,0.8204837364470391,False,,
asym_FP,0.2,0.1,LR,2,0.7453659206525,0.6470432672925001,0.6962045939725,-0.07061333273338778,139.98740528124998,145.23116612575,0.202,0.14732142857142858,0.2463768115942029,0.0,0.798,0.7689999999999999,0.7876393207632196,0.7771662571662571,False,,
asym_FP,0.2,0.1,LR,3,0.7429018007525001,0.6879653745150001,0.7154335876337501,-0.03839379863391996,143.72788164000005,139.28523198649998,0.191,0.1810344827586207,0.19962686567164178,0.0,0.8089999999999999,0.7870000000000001,0.7997566168412122,0.796607822776047,False,,
asym_FP,0.2,0.1,RF,0,0.81951138693,0.7755082236949999,0.7975098053125,-0.02758785090433454,162.30426865500002,153.98688591825,0.008,0.01598173515981735,0.0017793594306049821,0.0,0.992,0.7790000000000001,0.801233021965223,0.7918299620733249,False,,
asym_FP,0.2,0.1,RF,1,0.8371021975525,0.8046233305675,0.82086276406,-0.019783372073411923,162.53984416125,157.81905727699998,0.007,0.0022026431718061676,0.01098901098901099,0.0,0.993,0.8219999999999998,0.8336138575289211,0.8168807339449542,False,,
asym_FP,0.2,0.1,RF,2,0.8316599719900001,0.7932180006149999,0.8124389863025,-0.023658374351466973,156.36601718999998,156.46097337025,0.011,0.017857142857142856,0.005434782608695652,0.0,0.989,0.8030000000000002,0.8158813859426873,0.7916953316953318,False,,
asym_FP,0.2,0.1,RF,3,0.8344364578175,0.8083086858725,0.821372571845,-0.015904945468537948,158.17936025675002,156.84896430474998,0.009,0.017241379310344827,0.0018656716417910447,0.0,0.991,0.808,0.8151680458421889,0.7947040498442368,False,,
asym_FP,0.2,0.1,SVM,0,0.7812037592750001,0.7044657812325,0.7428347702537501,-0.051652117714303045,152.94554281425002,147.28348344875,0.168,0.1415525114155251,0.18861209964412812,0.0,0.832,0.7979999999999999,0.811260539710293,0.7722819216182047,False,,
