class_sep,flip_y,seed,E1,E2,E4,E5,E1_err,E2_err,E4_err,E5_err,type_C_frac
1.5,0.1,1,0.08,0.07999998758393997,0.001,0.0484,0.020000000000000004,0.02000001241606003,0.099,0.05160000000000001,0.92
1.5,0.1,2,0.133,0.12900000837690892,0.007,0.0802,0.033,0.029000008376908915,0.093,0.019800000000000012,0.867
1.5,0.1,3,0.118,0.11699999202383167,0.002,0.071,0.017999999999999988,0.016999992023831664,0.098,0.029000000000000012,0.88
1.5,0.1,4,0.134,0.13200025028290283,0.004,0.0814,0.034,0.03200025028290282,0.096,0.018600000000000005,0.865
1.5,0.1,5,0.074,0.07200001448628196,0.003,0.044399999999999995,0.02600000000000001,0.027999985513718045,0.097,0.05560000000000001,0.926
1.5,0.15,0,0.223,0.2227521834546211,0.012,0.1386,0.07300000000000001,0.07275218345462112,0.13799999999999998,0.011399999999999993,0.774
1.5,0.15,1,0.106,0.1060000063335842,0.0,0.06359999999999999,0.044,0.0439999936664158,0.15,0.0864,0.894
1.5,0.15,2,0.147,0.14399999238182543,0.006,0.09,0.0030000000000000027,0.006000007618174569,0.144,0.06,0.852
1.5,0.15,3,0.145,0.14399802340731782,0.004,0.088,0.0050000000000000044,0.006001976592682173,0.146,0.062,0.855
1.5,0.15,4,0.164,0.16100000970113137,0.003,0.09780000000000001,0.014000000000000012,0.01100000970113138,0.147,0.05219999999999998,0.835
1.5,0.15,5,0.112,0.11000000203565649,0.005,0.0686,0.03799999999999999,0.0399999979643435,0.145,0.0814,0.888
1.5,0.2,0,0.235,0.227825384845251,0.008,0.1418,0.034999999999999976,0.02782538484525099,0.192,0.0582,0.765
1.5,0.2,1,0.128,0.1270000068176303,0.001,0.07719999999999999,0.07200000000000001,0.07299999318236972,0.199,0.12280000000000002,0.871
1.5,0.2,2,0.16,0.1540041723150732,0.007,0.09699999999999999,0.04000000000000001,0.0459958276849268,0.193,0.10300000000000002,0.839
1.5,0.2,3,0.151,0.14899966259703162,0.003,0.0906,0.049000000000000016,0.05100033740296839,0.197,0.10940000000000001,0.847
1.5,0.2,4,0.195,0.18700119982972577,0.006,0.11639999999999999,0.0050000000000000044,0.012998800170274244,0.194,0.08360000000000002,0.805
1.5,0.2,5,0.137,0.13700000227872308,0.003,0.08340000000000002,0.063,0.06299999772127693,0.197,0.1166,0.862
1.5,0.25,0,0.267,0.2639999963902424,0.008,0.16160000000000002,0.017000000000000015,0.013999996390242408,0.242,0.08839999999999998,0.732
1.5,0.25,1,0.157,0.15402413234081683,0.001,0.0934,0.093,0.09597586765918317,0.249,0.15660000000000002,0.843
1.5,0.25,2,0.191,0.18399998338158352,0.009,0.11460000000000001,0.059,0.06600001661841648,0.241,0.1354,0.808
1.5,0.25,3,0.188,0.17813996792621628,0.009,0.111,0.062,0.07186003207378372,0.241,0.139,0.812
1.5,0.25,4,0.222,0.21800002531265444,0.011,0.1352,0.027999999999999997,0.031999974687345556,0.239,0.11480000000000001,0.776
1.5,0.25,5,0.161,0.15799999622718852,0.004,0.0964,0.089,0.09200000377281148,0.246,0.15360000000000001,0.839
1.5,0.3,0,0.27,0.26505433798540345,0.018,0.1668,0.02999999999999997,0.034945662014596535,0.282,0.13319999999999999,0.725
1.5,0.3,1,0.18,0.1760003484665969,0.005,0.1094,0.12,0.12399965153340309,0.295,0.1906,0.819
1.5,0.3,2,0.208,0.20199236474585874,0.007,0.1246,0.092,0.09800763525414125,0.293,0.1754,0.792
1.5,0.3,3,0.232,0.22700000409608556,0.006,0.14040000000000002,0.06799999999999998,0.07299999590391443,0.294,0.15959999999999996,0.768
1.5,0.3,4,0.239,0.23400000690048636,0.007,0.14379999999999998,0.061,0.06599999309951363,0.293,0.1562,0.761
1.5,0.3,5,0.186,0.18300000840339342,0.004,0.112,0.11399999999999999,0.11699999159660657,0.296,0.188,0.813
