class_sep,flip_y,seed,E1,E2,E4,E5,E1_err,E2_err,E4_err,E5_err,type_C_frac
1.5,0.5,4,0.347,0.33199975549690963,0.016,0.2074,0.15300000000000002,0.16800024450309037,0.484,0.29259999999999997,0.652
1.5,0.5,5,0.279,0.27361990091041954,0.004,0.1666,0.22099999999999997,0.22638009908958046,0.496,0.33340000000000003,0.72
2.0,0.0,0,0.107,0.10099999099552319,0.008,0.0638,0.107,0.10099999099552319,0.008,0.0638,0.893
2.0,0.0,1,0.003,0.0032608275592783107,0.0,0.0018,0.003,0.0032608275592783107,0.0,0.0018,0.997
2.0,0.0,2,0.029,0.02899999257570788,0.001,0.0178,0.029,0.02899999257570788,0.001,0.0178,0.971
2.0,0.0,3,0.02,0.02000000008242741,0.0,0.012,0.02,0.02000000008242741,0.0,0.012,0.98
2.0,0.0,4,0.044,0.044000004701597775,0.0,0.026399999999999996,0.044,0.044000004701597775,0.0,0.026399999999999996,0.956
2.0,0.0,5,0.011,0.011000004160472077,0.0,0.006599999999999999,0.011,0.011000004160472077,0.0,0.006599999999999999,0.989
2.0,0.05,0,0.127,0.12499570940791324,0.005,0.0776,0.077,0.07499570940791324,0.045000000000000005,0.0276,0.873
2.0,0.05,1,0.028,0.02800000012912117,0.0,0.0168,0.022000000000000002,0.021999999870878834,0.05,0.03320000000000001,0.972
2.0,0.05,2,0.053,0.052999997452019956,0.0,0.031799999999999995,0.0029999999999999957,0.0029999974520199535,0.05,0.018200000000000008,0.947
2.0,0.05,3,0.045,0.04500000904738237,0.0,0.027,0.0050000000000000044,0.004999990952617633,0.05,0.023000000000000003,0.955
2.0,0.05,4,0.069,0.06900001427025938,0.0,0.0414,0.019000000000000003,0.01900001427025938,0.05,0.008600000000000003,0.931
2.0,0.05,5,0.031,0.030999995733172594,0.0,0.0186,0.019000000000000003,0.01900000426682741,0.05,0.031400000000000004,0.969
2.0,0.1,0,0.142,0.1350000172987181,0.01,0.0868,0.04199999999999998,0.0350000172987181,0.09000000000000001,0.013200000000000003,0.857
2.0,0.1,1,0.061,0.06100000013136046,0.0,0.0366,0.03900000000000001,0.03899999986863954,0.1,0.06340000000000001,0.939
2.0,0.1,2,0.09,0.08900000296466298,0.004,0.05499999999999999,0.010000000000000009,0.010999997035337022,0.096,0.04500000000000001,0.91
2.0,0.1,3,0.075,0.07500000686616318,0.001,0.045399999999999996,0.02500000000000001,0.02499999313383683,0.099,0.05460000000000001,0.925
2.0,0.1,4,0.09,0.08900000033347846,0.002,0.0548,0.010000000000000009,0.010999999666521543,0.098,0.045200000000000004,0.91
2.0,0.1,5,0.058,0.0569999935476211,0.0,0.0342,0.042,0.043000006452378906,0.1,0.0658,0.942
2.0,0.15,0,0.161,0.15248453488990393,0.009,0.09720000000000001,0.01100000000000001,0.0024845348899039388,0.141,0.052799999999999986,0.839
2.0,0.15,1,0.089,0.08900000343056694,0.0,0.053399999999999996,0.061,0.06099999656943306,0.15,0.09659999999999999,0.911
2.0,0.15,2,0.107,0.10600002116464341,0.001,0.06399999999999999,0.043,0.043999978835356585,0.149,0.08600000000000001,0.893
2.0,0.15,3,0.111,0.10999998873206586,0.004,0.0682,0.03899999999999999,0.040000011267934135,0.146,0.0818,0.889
2.0,0.15,4,0.131,0.13099986567078337,0.001,0.079,0.01899999999999999,0.019000134329216628,0.149,0.071,0.869
2.0,0.15,5,0.088,0.08800000379084066,0.0,0.05279999999999999,0.062,0.06199999620915933,0.15,0.09720000000000001,0.912
2.0,0.2,0,0.168,0.16098508038282763,0.01,0.1012,0.032,0.03901491961717238,0.19,0.09880000000000001,0.83
2.0,0.2,1,0.113,0.11199998871362349,0.002,0.06799999999999999,0.08700000000000001,0.08800001128637652,0.198,0.132,0.887
2.0,0.2,2,0.123,0.12099998627182061,0.002,0.074,0.07700000000000001,0.0790000137281794,0.198,0.126,0.875
