sep,B,flip_y,seed,E1_err,E2_err,E4_err,E5_err,mu_Se_std
2.0,75,0.2,4,0.18000000000000002,0.1800000060002288,0.199,0.18760000000000002,0.0025019610195630725
2.0,75,0.3,0,0.291,0.2902173463821057,0.3,0.2946,0.0027602355184155507
2.0,75,0.3,1,0.292,0.2920000010282258,0.298,0.2944,0.0026359802313870653
2.0,75,0.3,2,0.282,0.28200000325836216,0.3,0.2892,0.002772742103708302
2.0,75,0.3,3,0.28099999999999997,0.2810082994083371,0.296,0.28759999999999997,0.0028359853201145127
2.0,75,0.3,4,0.283,0.2830000627415579,0.298,0.289,0.0028073752185261837
2.0,75,0.4,0,0.392,0.39236661851949783,0.399,0.39540000000000003,0.0029417284873894073
2.0,75,0.4,1,0.386,0.38599999758726183,0.398,0.39080000000000004,0.0028603425031106977
2.0,75,0.4,2,0.393,0.393999998760632,0.399,0.39540000000000003,0.0028678953390420094
2.0,75,0.4,3,0.391,0.3920102131538521,0.397,0.3946,0.0028146100253311685
2.0,75,0.4,4,0.39,0.3909999988101786,0.4,0.3946,0.00285484439105579
2.0,100,0.1,0,0.08800000000000001,0.088000004886132,0.1,0.09280000000000001,0.0016762197264579622
2.0,100,0.1,1,0.07800000000000001,0.07290280114023907,0.099,0.0864,0.0015684563935729732
2.0,100,0.1,2,0.07700000000000001,0.07700002593573299,0.098,0.0854,0.0016738439961111583
2.0,100,0.1,3,0.07800000000000001,0.07800000274994191,0.1,0.0868,0.001601255631116045
2.0,100,0.1,4,0.082,0.08199999630170564,0.1,0.0892,0.0016417880777480284
2.0,100,0.2,0,0.17900000000000002,0.17899999525923802,0.2,0.1874,0.001894479857276832
2.0,100,0.2,1,0.17800000000000002,0.1789999963859743,0.198,0.18660000000000002,0.0019126720739159394
2.0,100,0.2,2,0.17300000000000001,0.173002222608206,0.199,0.1834,0.0018687408392152817
2.0,100,0.2,3,0.17500000000000002,0.1749999950684081,0.2,0.185,0.0017805807531638394
2.0,100,0.2,4,0.183,0.12802223622931347,0.2,0.18980000000000002,0.002021517162457553
2.0,100,0.3,0,0.295,0.2949999999522875,0.3,0.297,0.002155876365961691
2.0,100,0.3,1,0.29,0.29100000083336314,0.298,0.2938,0.0021479497455683325
2.0,100,0.3,2,0.285,0.2849999987252284,0.3,0.291,0.0021618376580729896
2.0,100,0.3,3,0.286,0.28700002182955625,0.299,0.2918,0.002238183428762199
2.0,100,0.3,4,0.288,0.2890000032683619,0.299,0.2924,0.0022215628304328174
2.0,100,0.4,0,0.393,0.3929738204157184,0.399,0.39540000000000003,0.0022197053834366706
2.0,100,0.4,1,0.387,0.38590604719652266,0.398,0.392,0.002235782264307215
2.0,100,0.4,2,0.394,0.39454482151190423,0.397,0.39640000000000003,0.0022997801191584105
2.0,100,0.4,3,0.395,0.3950000015607148,0.399,0.3966,0.002225947882456378
