class_sep,flip_y,seed,phi_true,phi_btd_lr,phi_cl,bias_btd,bias_cl,btd_precision,btd_recall,btd_f1,btd_auc,cl_precision,cl_recall,cl_f1,cl_auc,jaccard_btd_cl,btd_rhat_max,btd_neff_min,btd_converged,btd_source
1.5,0.15,3,0.122,0.184,0.141,0.062,0.01899999999999999,0.6304347826086957,0.9508196721311475,0.7581699346405228,0.9366854624892639,0.7588652482269503,0.8770491803278688,0.8136882129277566,0.9191624033757796,0.7663043478260869,,,False,fresh
1.5,0.15,4,0.163,0.22,0.204,0.056999999999999995,0.04099999999999998,0.6545454545454545,0.8834355828220859,0.7519582245430809,0.896317552462417,0.6666666666666666,0.8343558282208589,0.7411444141689373,0.8765566476827115,0.8928571428571429,,,False,fresh
1.5,0.15,5,0.167,0.196,0.179,0.028999999999999998,0.011999999999999983,0.7857142857142857,0.9221556886227545,0.8484848484848485,0.9358677602777637,0.8156424581005587,0.874251497005988,0.8439306358381503,0.9173178253337263,0.8564356435643564,,,False,fresh
1.5,0.2,0,0.197,0.305,0.292,0.10799999999999998,0.09499999999999997,0.5081967213114754,0.7868020304568528,0.6175298804780877,0.800001264294429,0.5273972602739726,0.7817258883248731,0.6298568507157464,0.8049351733031588,0.8540372670807453,,,False,fresh
1.5,0.2,1,0.212,0.228,0.226,0.016000000000000014,0.014000000000000012,0.881578947368421,0.9481132075471698,0.9136363636363637,0.9569246240781535,0.8672566371681416,0.9245283018867925,0.8949771689497716,0.9432286179484722,0.9319148936170213,,,False,fresh
1.5,0.2,2,0.198,0.248,0.231,0.04999999999999999,0.033,0.7016129032258065,0.8787878787878788,0.7802690582959642,0.8932592760522935,0.7489177489177489,0.8737373737373737,0.8065268065268065,0.9007090858711805,0.9083665338645418,,,False,fresh
1.5,0.2,3,0.173,0.235,0.204,0.062,0.031,0.6978723404255319,0.9479768786127167,0.803921568627451,0.9310621998867694,0.7794117647058824,0.9190751445086706,0.843501326259947,0.9323308007912157,0.8601694915254238,,,False,fresh
1.5,0.2,4,0.212,0.267,0.262,0.05500000000000002,0.05000000000000002,0.704119850187266,0.8867924528301887,0.7849686847599165,0.8932693228617948,0.6870229007633588,0.8490566037735849,0.759493670886076,0.8724978450340006,0.8692579505300353,,,False,fresh
1.5,0.2,5,0.199,0.227,0.22,0.027999999999999997,0.02099999999999999,0.8061674008810573,0.9195979899497487,0.8591549295774648,0.9323333270597682,0.8136363636363636,0.8994974874371859,0.8544152744630071,0.9241557349795169,0.8781512605042017,,,False,fresh
1.5,0.3,0,0.31,0.365,0.381,0.05499999999999999,0.07100000000000001,0.6602739726027397,0.7774193548387097,0.7140740740740741,0.7988546049555867,0.6404199475065617,0.7870967741935484,0.7062228654124457,0.7942730247779336,0.823960880195599,,,False,fresh
1.5,0.3,1,0.306,0.317,0.319,0.01100000000000001,0.013000000000000012,0.8706624605678234,0.9019607843137255,0.8860353130016051,0.9214414872577272,0.8589341692789969,0.8954248366013072,0.8768,0.9152916690211146,0.9099099099099099,,,False,fresh
1.5,0.3,2,0.299,0.328,0.335,0.029000000000000026,0.03600000000000003,0.7713414634146342,0.8461538461538461,0.8070175438596491,0.8695819159442555,0.7343283582089553,0.822742474916388,0.7760252365930599,0.8478904956607617,0.8467966573816156,,,False,fresh
1.5,0.3,3,0.259,0.304,0.287,0.044999999999999984,0.02799999999999997,0.7796052631578947,0.915057915057915,0.8419182948490231,0.9123197807408333,0.8048780487804879,0.8918918918918919,0.8461538461538461,0.9081591713170659,0.912621359223301,,,False,fresh
1.5,0.3,4,0.336,0.363,0.375,0.02699999999999997,0.03899999999999998,0.7768595041322314,0.8392857142857143,0.8068669527896996,0.8586488812392428,0.7466666666666667,0.8333333333333334,0.7876230661040787,0.8451305220883535,0.849624060150376,,,False,fresh
1.5,0.3,5,0.316,0.32,0.314,0.0040000000000000036,-0.0020000000000000018,0.85,0.8607594936708861,0.8553459119496856,0.8952920275371975,0.8343949044585988,0.8291139240506329,0.8317460317460318,0.8765452661188837,0.8813056379821959,,,False,fresh
